"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","ofs"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568313",900.0,"KG","E012210CHG00000692","2022-10-23 22:25:41","RSEBS0000000131","2022-10-24 03:11:49","2022-10-24 11:57:56","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50161",650.0,"KG","E012210CHG00000691","2022-10-23 21:22:45","RVMAX0862000013","2022-10-23 22:57:01","2022-10-24 11:43:27","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Reciclado Elastictek","R00000000000001","20220921-03",787.0,"KG","E012210CHG00000690","2022-10-23 21:17:53","R00000000000001","2022-10-24 17:59:13","2022-10-25 07:14:53","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Reciclado Elastictek","R00000000000001","20220921-02",802.0,"KG","E012210CHG00000689","2022-10-23 21:17:31","R00000000000001","2022-10-24 04:38:33","2022-10-24 17:58:02","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002588946",900.0,"KG","E012210CHG00000674","2022-10-23 16:20:33","RSEBS0000000131","2022-10-23 17:24:36","2022-10-24 03:11:41","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000673","2022-10-23 14:05:54",NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5077",650.0,"KG","E012210CHG00000672","2022-10-23 12:59:39","RVMAX0862000013","2022-10-23 14:33:26","2022-10-23 22:56:41","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000667","2022-10-23 09:56:49","RAPRA0000000078","2022-10-25 03:39:07",NULL,"OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000666","2022-10-23 09:56:31","RAAOX0000000080","2022-10-25 03:38:36",NULL,"OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB50248",650.0,"KG","E012210CHG00000665","2022-10-23 07:31:16","RVMAX0863000012","2022-10-23 14:36:24","2022-10-25 04:11:13","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Reciclado Elastictek","R00000000000001","20220925-01",752.0,"KG","E012210CHG00000643","2022-10-22 21:55:47","R00000000000001","2022-10-23 16:38:51","2022-10-24 04:37:39","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5084",650.0,"KG","E012210CHG00000640","2022-10-22 21:52:55","RVMAX0862000013","2022-10-23 07:52:17","2022-10-23 14:33:10","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","0108680626179834102F4060503102",900.0,"KG","E012210CHG00000639","2022-10-22 21:52:46","RSEBS0000000131","2022-10-23 11:31:56","2022-10-23 17:21:46","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000638","2022-10-22 21:43:01","RMWH00000000117","2022-10-24 03:09:49","2022-10-25 20:14:17","OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB509",650.0,"KG","E012210CHG00000637","2022-10-22 18:11:59","RVMAX0862000013","2022-10-22 20:38:40","2022-10-23 07:52:00","OFF-E0122/00389,OFF-E0122/00388"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002587383",900.0,"KG","E012210CHG00000636","2022-10-22 18:11:43","RSEBS0000000131","2022-10-22 23:46:55","2022-10-23 11:31:37","OFF-E0122/00390"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002587420",900.0,"KG","E012210CHG00000624","2022-10-22 12:31:42",NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21112902AB50133",650.0,"KG","E012210CHG00000618","2022-10-22 10:38:55",NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","20220924-02",810.0,"KG","E012210CHG00000615","2022-10-21 22:33:21","R00000000000001","2022-10-22 21:54:06","2022-10-23 16:37:18","OFF-E0122/00389,OFF-E0122/00388"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002587352",900.0,"KG","E012210CHG00000614","2022-10-21 22:22:15","RSEBS0000000131","2022-10-22 04:03:09","2022-10-22 23:44:45","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5097",650.0,"KG","E012210CHG00000613","2022-10-21 22:22:07","RVMAX0862000013","2022-10-22 05:15:50","2022-10-22 20:36:41","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50231",650.0,"KG","E012210CHG00000612","2022-10-21 22:21:57",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000603","2022-10-21 21:42:38","RPP620900000035","2022-10-23 14:38:54",NULL,"OFF-E0122/00398,OFF-E0122/00397,OFF-E0122/00396,OFF-E0122/00384"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002587390",900.0,"KG","E012210CHG00000598","2022-10-21 17:56:15","RSEBS0000000131","2022-10-21 21:22:40","2022-10-22 04:02:47","OFF-E0122/00389,OFF-E0122/00388"
"Reciclado Elastictek","R00000000000001","20220926-02",736.0,"KG","E012210CHG00000595","2022-10-21 09:25:27","R00000000000001","2022-10-22 04:02:20","2022-10-22 21:53:41","OFF-E0122/00389,OFF-E0122/00388"
"Reciclado Elastictek","R00000000000001","20220924-01",803.0,"KG","E012210CHG00000594","2022-10-21 09:24:43","R00000000000001","2022-10-21 11:11:17","2022-10-22 04:01:54","OFF-E0122/00389,OFF-E0122/00388"
"Reciclado Elastictek","R00000000000001","20220921-01",745.0,"KG","E012210CHG00000583","2022-10-20 22:52:14","R00000000000001","2022-10-21 09:32:46","2022-10-21 11:10:58","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5027",650.0,"KG","E012210CHG00000582","2022-10-20 21:30:33","RVMAX0862000013","2022-10-21 17:04:17","2022-10-21 21:00:59","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5048",650.0,"KG","E012210CHG00000581","2022-10-20 21:29:40","RVMAX0862000013","2022-10-21 05:25:44","2022-10-21 16:04:45","OFF-E0122/00389,OFF-E0122/00388"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002570880",900.0,"KG","E012210CHG00000580","2022-10-20 21:27:08","RSEBS0000000131","2022-10-21 12:24:54","2022-10-21 21:22:27","OFF-E0122/00389,OFF-E0122/00388"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568481",800.0,"KG","E012210CHG00000578","2022-10-20 21:05:13","RSEBS0000000131","2022-10-21 03:37:39","2022-10-21 12:24:38","OFF-E0122/00389,OFF-E0122/00388"
"ADT AOX L075","RAAOX0000000080","A220570",72.0,"KG","E012210CHG00000577","2022-10-20 21:00:23","RAAOX0000000080","2022-10-23 00:31:43","2022-10-25 03:38:06","OFF-E0122/00390"
"Process Aid ADT AP L068","RAPRA0000000078","A221166",72.0,"KG","E012210CHG00000576","2022-10-20 21:00:08","RAPRA0000000078","2022-10-23 00:32:06","2022-10-25 03:38:18","OFF-E0122/00390"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000575","2022-10-20 20:59:51","RMWH00000000117","2022-10-22 20:39:25","2022-10-24 03:09:03","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB50136",650.0,"KG","E012210CHG00000564","2022-10-20 17:54:38","RVMAX0862000013","2022-10-20 19:52:47","2022-10-21 05:20:13","OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313913",900.0,"KG","E012210CHG00000563","2022-10-20 15:33:45","RSEBS0000000142","2022-10-20 17:29:09","2022-10-21 03:16:29","OFF-E0122/00383,OFF-E0122/00387"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000558","2022-10-20 13:22:02","RPP620900000035","2022-10-21 22:37:50","2022-10-23 14:38:34","OFF-E0122/00389,OFF-E0122/00388"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50268",650.0,"KG","E012210CHG00000557","2022-10-20 12:41:30","RVMAX0863000012","2022-10-20 19:52:19","2022-10-23 14:35:26","OFF-E0122/00383,OFF-E0122/00387"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22030103AB50329",650.0,"KG","E012210CHG00000552","2022-10-20 08:40:50","RVMAX0862000013","2022-10-20 11:12:05","2022-10-20 19:52:36","OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313922",900.0,"KG","E012210CHG00000551","2022-10-19 21:50:36","RSEBS0000000142","2022-10-20 08:38:29","2022-10-20 17:28:54","OFF-E0122/00383,OFF-E0122/00387"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5030",650.0,"KG","E012210CHG00000550","2022-10-19 21:50:28","RVMAX0862000013","2022-10-20 03:21:21","2022-10-20 11:11:55","OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313924",900.0,"KG","E012210CHG00000549","2022-10-19 21:39:29","RSEBS0000000142","2022-10-19 23:42:48","2022-10-20 08:37:29","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-01",755.0,"KG","E012210CHG00000540","2022-10-19 17:44:14","R00000000000001","2022-10-20 01:33:29","2022-10-20 10:29:48","OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220917-03",784.0,"KG","E012210CHG00000539","2022-10-19 17:43:56","R00000000000001","2022-10-20 21:41:08","2022-10-21 09:32:27","OFF-E0122/00383,OFF-E0122/00387"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5023",650.0,"KG","E012210CHG00000538","2022-10-19 17:30:56","RVMAX0862000013","2022-10-19 21:08:20","2022-10-20 03:20:17","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000525","2022-10-19 17:02:31","RMWH00000000117","2022-10-20 15:35:20","2022-10-22 20:38:59","OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231613",900.0,"KG","E012210CHG00000520","2022-10-19 13:17:11","RSEBS0000000142","2022-10-19 14:23:50","2022-10-19 23:41:02","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB501",650.0,"KG","E012210CHG00000519","2022-10-19 11:17:05","RVMAX0862000013","2022-10-19 12:27:12","2022-10-19 21:06:47","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50135",650.0,"KG","E012210CHG00000518","2022-10-18 22:39:23","RVMAX0863000012","2022-10-19 10:36:58","2022-10-20 19:52:05","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5031",650.0,"KG","E012210CHG00000517","2022-10-18 22:26:52","RVMAX0862000013","2022-10-19 05:56:08","2022-10-19 12:26:51","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313911",900.0,"KG","E012210CHG00000516","2022-10-18 22:26:09","RSEBS0000000142","2022-10-19 06:07:17","2022-10-19 14:23:21","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231619",900.0,"KG","E012210CHG00000512","2022-10-18 20:16:30","RSEBS0000000142","2022-10-18 22:13:03","2022-10-19 06:06:59","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5054",650.0,"KG","E012210CHG00000511","2022-10-18 19:48:00","RVMAX0862000013","2022-10-18 22:36:25","2022-10-19 05:55:47","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000510","2022-10-18 17:58:42","RAAOX0000000080","2022-10-20 16:05:35","2022-10-23 00:30:12","OFF-E0122/00383,OFF-E0122/00387"
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000509","2022-10-18 17:58:30","RAPRA0000000078","2022-10-20 16:00:29","2022-10-23 00:29:53","OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313917",900.0,"KG","E012210CHG00000500","2022-10-18 12:37:04","RSEBS0000000142","2022-10-18 13:57:07","2022-10-18 22:12:35","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5026",650.0,"KG","E012210CHG00000499","2022-10-18 12:30:17","RVMAX0862000013","2022-10-18 14:02:15","2022-10-18 22:13:27","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-01",758.0,"KG","E012210CHG00000490","2022-10-18 09:21:52","R00000000000001","2022-10-20 10:36:53","2022-10-20 21:40:01","OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220915-02",733.0,"KG","E012210CHG00000489","2022-10-18 09:21:21","R00000000000001","2022-10-19 09:38:25","2022-10-20 01:32:30","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313912",900.0,"KG","E012210CHG00000488","2022-10-17 22:48:38","RSEBS0000000142","2022-10-18 06:30:59","2022-10-18 13:56:35","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50106",650.0,"KG","E012210CHG00000481","2022-10-17 22:20:03","RVMAX0862000013","2022-10-18 00:34:32","2022-10-18 06:39:47","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50155",650.0,"KG","E012210CHG00000480","2022-10-17 22:19:05","RVMAX0862000013","2022-10-18 06:40:02","2022-10-18 13:59:36","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50184",650.0,"KG","E012210CHG00000479","2022-10-17 22:18:07","RVMAX0863000012","2022-10-18 00:34:00","2022-10-19 10:36:37","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",400.0,"KG","E012210CHG00000467","2022-10-17 07:45:23","RMWH00000000117","2022-10-19 04:34:02","2022-10-20 15:34:54","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220920-01",746.0,"KG","E012210CHG00000466","2022-10-17 07:24:33","R00000000000001","2022-10-18 17:37:06","2022-10-19 09:38:11","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-02",785.0,"KG","E012210CHG00000465","2022-10-17 07:24:14","R00000000000001","2022-10-18 07:29:34","2022-10-18 17:36:52","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-02",822.0,"KG","E012210CHG00000464","2022-10-17 07:21:32","R00000000000001","2022-10-17 08:29:52","2022-10-18 07:29:22","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB506",650.0,"KG","E012210CHG00000463","2022-10-16 22:09:50","RVMAX0862000013","2022-10-17 03:30:58","2022-10-17 17:42:22","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5020",650.0,"KG","E012210CHG00000462","2022-10-16 22:09:41","RVMAX0862000013","2022-10-17 17:42:45","2022-10-18 00:34:19","OFF-E0122/00386"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231612",900.0,"KG","E012210CHG00000461","2022-10-16 22:09:32","RSEBS0000000142","2022-10-17 04:27:17","2022-10-17 19:45:37","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313914",900.0,"KG","E012210CHG00000460","2022-10-16 22:09:24","RSEBS0000000142","2022-10-17 19:45:49","2022-10-18 06:29:14","OFF-E0122/00386"
"Reciclado Elastictek","R00000000000001","20220920-02",784.0,"KG","E012210CHG00000459","2022-10-16 21:49:47","R00000000000001","2022-10-17 07:10:48","2022-10-17 08:22:04","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50139",650.0,"KG","E012210CHG00000458","2022-10-16 21:44:32","RVMAX0863000012","2022-10-17 00:09:53","2022-10-18 00:33:42","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313915",900.0,"KG","E012210CHG00000448","2022-10-16 18:20:08","RSEBS0000000142","2022-10-16 21:46:24","2022-10-17 04:26:56","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB501",650.0,"KG","E012210CHG00000447","2022-10-16 18:01:40","RVMAX0862000013","2022-10-16 21:47:30","2022-10-17 03:30:35","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000445","2022-10-16 07:40:48","RAAOX0000000080","2022-10-18 15:13:45","2022-10-20 16:00:18","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000444","2022-10-16 07:40:34","RAPRA0000000078","2022-10-18 15:12:58","2022-10-20 16:00:07","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220915-01",769.0,"KG","E012210CHG00000435","2022-10-15 22:48:46","R00000000000001","2022-10-16 11:10:59","2022-10-17 06:48:47","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21112902AB50141",650.0,"KG","E012210CHG00000433","2022-10-15 22:36:32","RVMAX0862000013","2022-10-16 14:40:32","2022-10-16 21:46:37","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50278",650.0,"KG","E012210CHG00000432","2022-10-15 22:36:22","RVMAX0862000013","2022-10-16 04:43:28","2022-10-16 14:40:13","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231618",900.0,"KG","E012210CHG00000431","2022-10-15 22:36:14","RSEBS0000000142","2022-10-16 11:11:44","2022-10-16 21:45:27","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231396",900.0,"KG","E012210CHG00000430","2022-10-15 22:36:05","RSEBS0000000142","2022-10-16 02:48:34","2022-10-16 11:11:15","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50284",650.0,"KG","E012210CHG00000424","2022-10-15 18:30:34","RVMAX0862000013","2022-10-15 21:31:06","2022-10-16 04:43:08","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50144",650.0,"KG","E012210CHG00000423","2022-10-15 14:23:44","RVMAX0863000012","2022-10-15 23:08:37","2022-10-17 00:08:13","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000422","2022-10-15 14:15:59","RMWH00000000117","2022-10-17 02:14:31","2022-10-19 04:33:40","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220914-02",730.0,"KG","E012210CHG00000416","2022-10-15 11:05:45","R00000000000001","2022-10-15 20:57:47","2022-10-16 11:10:31","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50254",650.0,"KG","E012210CHG00000413","2022-10-14 22:23:59","RVMAX0862000013","2022-10-15 15:12:58","2022-10-15 21:30:48","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50165",650.0,"KG","E012210CHG00000412","2022-10-14 22:23:51","RVMAX0862000013","2022-10-15 04:53:35","2022-10-15 15:08:46","OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231616",900.0,"KG","E012210CHG00000411","2022-10-14 22:23:42","RSEBS0000000142","2022-10-15 04:53:15","2022-10-15 15:59:07","OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316111",900.0,"KG","E012210CHG00000410","2022-10-14 22:23:34","RSEBS0000000142","2022-10-15 15:59:36","2022-10-16 02:48:18","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220917-02",782.0,"KG","E012210CHG00000407","2022-10-14 22:22:56","R00000000000001","2022-10-15 04:00:40","2022-10-15 20:57:07","OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220913-02",751.0,"KG","E012210CHG00000406","2022-10-14 22:22:36",NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50151",650.0,"KG","E012210CHG00000393","2022-10-14 16:56:10","RVMAX0862000013","2022-10-14 19:32:25","2022-10-15 04:51:03","OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231617",900.0,"KG","E012210CHG00000392","2022-10-14 16:50:18","RSEBS0000000142","2022-10-14 17:58:44","2022-10-15 04:51:16","OFF-E0122/00385"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50309",650.0,"KG","E012210CHG00000391","2022-10-14 16:43:29","RVMAX0863000012","2022-10-14 17:54:34","2022-10-15 23:08:18","OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220917-01",729.0,"KG","E012210CHG00000390","2022-10-13 22:14:51","R00000000000001","2022-10-14 06:46:57","2022-10-14 15:35:07","OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220916-02",763.0,"KG","E012210CHG00000389","2022-10-13 22:13:32","R00000000000001","2022-10-14 15:36:58","2022-10-15 04:00:26","OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313916",900.0,"KG","E012210CHG00000388","2022-10-13 22:13:07","RSEBS0000000142","2022-10-14 11:21:45","2022-10-14 17:58:11","OFF-E0122/00385"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21112902AB5050",650.0,"KG","E012210CHG00000387","2022-10-13 22:12:58","RVMAX0862000013","2022-10-14 12:40:56","2022-10-14 19:30:13","OFF-E0122/00385"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50306",650.0,"KG","E012210CHG00000386","2022-10-13 22:12:49","RVMAX0862000013","2022-10-14 06:10:21","2022-10-14 12:40:20","OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316112",900.0,"KG","E012210CHG00000385","2022-10-13 22:05:10","RSEBS0000000142","2022-10-14 01:52:35","2022-10-14 11:21:16","OFF-E0122/00385"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000384","2022-10-13 21:56:51","RPP620900000035","2022-10-20 10:03:30","2022-10-21 22:37:08","OFF-E0122/00383,OFF-E0122/00387"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000376","2022-10-13 20:48:45","RMWH00000000117","2022-10-15 15:11:26","2022-10-17 02:13:34","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012210CHG00000375","2022-10-13 20:40:00","RAAOX0000000138","2022-10-16 07:51:13","2022-10-18 15:00:44","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012210CHG00000374","2022-10-13 20:39:42","RAPPA0000000137","2022-10-16 07:50:32","2022-10-18 15:00:34","OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
