"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","ofs"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000417","2022-09-17 21:37:23",NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000416","2022-09-17 21:36:59","RAPPA0000000137","2022-09-20 16:48:24",NULL,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000415","2022-09-17 21:36:10",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000384","2022-09-16 21:11:42",NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012209CHG00000383","2022-09-16 21:03:04","RMWH00000000117","2022-09-20 16:47:01",NULL,"OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000364","2022-09-15 22:22:26",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000363","2022-09-15 22:22:07",NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",125.0,"KG","E012209CHG00000355","2022-09-14 22:51:04",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000345","2022-09-14 15:46:18",NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000337","2022-09-13 22:01:57",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000336","2022-09-13 22:01:41",NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000283","2022-09-11 20:37:00",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000282","2022-09-11 20:24:53",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000269","2022-09-11 14:32:54",NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000224","2022-09-09 21:53:55",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000223","2022-09-09 21:50:22",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000199","2022-09-09 08:19:22",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000158","2022-09-07 14:03:48",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",50.0,"KG","E012209CHG00000157","2022-09-07 13:17:25",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000097","2022-09-05 07:44:53",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000096","2022-09-05 07:40:22",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000044","2022-09-02 22:33:31",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000042","2022-09-02 22:32:58",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000764","2022-08-31 07:57:27",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000725","2022-08-29 22:37:20",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000702","2022-08-28 22:37:37",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000686","2022-08-28 12:52:44",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000646","2022-08-26 17:14:46",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000645","2022-08-26 17:07:41",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000629","2022-08-25 22:03:21",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000603","2022-08-24 21:45:28",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000592","2022-08-24 18:06:48",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",50.0,"KG","E012208CHG00000518","2022-08-21 08:22:26",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",475.0,"KG","E012208CHG00000483","2022-08-19 09:31:37",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000470","2022-08-18 22:36:30",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000469","2022-08-18 22:35:57",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000420","2022-08-16 22:29:17",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000406","2022-08-16 07:37:50",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000352","2022-08-13 09:25:54",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000339","2022-08-12 21:48:50",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000282","2022-08-10 22:28:11",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000280","2022-08-10 22:22:19",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000228","2022-08-08 16:59:28",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000167","2022-08-06 14:58:41",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012208CHG00000071","2022-08-03 14:26:22",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000971","2022-07-31 22:45:35",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000905","2022-07-29 14:55:28",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",25.0,"KG","E012207CHG00000872","2022-07-27 22:23:51",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000858","2022-07-27 15:34:49",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000805","2022-07-25 08:12:23",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000803","2022-07-25 07:54:53",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000685","2022-07-19 22:53:06",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000646","2022-07-18 22:38:28",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000583","2022-07-17 16:36:34",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000556","2022-07-16 18:54:33",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000554","2022-07-16 18:44:08",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000538","2022-07-16 09:43:20",NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012207CHG00000477","2022-07-14 16:17:39",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000476","2022-07-14 15:44:57",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000450","2022-07-13 18:13:23",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012207CHG00000425","2022-07-12 22:32:52",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012207CHG00000378","2022-07-11 22:51:11",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012207CHG00000376","2022-07-11 22:50:00",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",1375.0,"KG","E012207CHG00000308","2022-07-09 21:50:33",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012207CHG00000302","2022-07-09 14:29:34",NULL,NULL,NULL,NULL
