"bobine","original_lvl1","original_lvl2","original_lvl3","original_lvl4","original_lvl5","root","nextl1","nextl2","nextl3","nextl4","nextl5","n1","n2","n3","n4","n5","nretrabalhos","st"
"40220111-13-01","20210618-07-01",NULL,NULL,NULL,NULL,"20210618-07-01",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-14-01","20210618-07-02",NULL,NULL,NULL,NULL,"20210618-07-02",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-16-01","20210620-08-05",NULL,NULL,NULL,NULL,"20210620-08-05",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-17-01","20210618-25-04",NULL,NULL,NULL,NULL,"20210618-25-04",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-18-01","20210620-08-14",NULL,NULL,NULL,NULL,"20210620-08-14",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-19-01","20210620-07-01",NULL,NULL,NULL,NULL,"20210620-07-01",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-20-01","20210618-25-01",NULL,NULL,NULL,NULL,"20210618-25-01",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-21-01","20210620-08-08",NULL,NULL,NULL,NULL,"20210620-08-08",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-22-01","20210620-07-05",NULL,NULL,NULL,NULL,"20210620-07-05",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-23-01","20210620-08-13",NULL,NULL,NULL,NULL,"20210620-08-13",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-24-01","20210618-07-03",NULL,NULL,NULL,NULL,"20210618-07-03",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-32-01","20210619-16-01",NULL,NULL,NULL,NULL,"20210619-16-01",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-33-01","20210619-16-03",NULL,NULL,NULL,NULL,"20210619-16-03",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-34-01","20210619-16-04",NULL,NULL,NULL,NULL,"20210619-16-04",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-35-01","20210619-16-07",NULL,NULL,NULL,NULL,"20210619-16-07",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-36-01","20210619-16-08",NULL,NULL,NULL,NULL,"20210619-16-08",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-37-01","20210619-16-06",NULL,NULL,NULL,NULL,"20210619-16-06",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-38-01","20210619-16-02",NULL,NULL,NULL,NULL,"20210619-16-02",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-39-01","20210619-16-05",NULL,NULL,NULL,NULL,"20210619-16-05",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-40-01","20210619-16-11",NULL,NULL,NULL,NULL,"20210619-16-11",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"40220111-41-01","20210619-16-14",NULL,NULL,NULL,NULL,"20210619-16-14",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
